ID	sexo	edad	fuma	colegio	clases	Interes	parcial	Final	Nota
SB11201910037284	Femenino	17,05	Si	Privado	Virtual	Lengua	7,6	2,6	5,1
SB11201910028097	Femenino	18,69	No	Publico	Presencial	Naturales	6	3	4,5
SB11201910021406	Femenino	16,34	No	Publico	Virtual	Sociales	4	3	3,5
SB11201910045782	Femenino	19,07	No	Publico	Presencial	Lengua	8,8	3	5,9
SB11201910041019	Masculino	21,4	No	Publico	Presencial	Lengua	10	3,2	6,6
SB11201910040368	Masculino	18,35	No	Publico	Presencial	Lengua	10	3,2	6,6
SB11201910045892	Femenino	17,75	Si	Privado	Presencial	Matematica	4,8	3,2	4
SB11201910040343	Femenino	16,91	No	Publico	Presencial	Lengua	9,4	3,6	6,5
SB11201910040361	Masculino	21,76	No	Publico	Virtual	Lengua	9	3,6	6,3
SB11201910058624	Masculino	19,82	No	Privado	Presencial	Sociales	5,4	3,6	4,5
SB11201910040345	Masculino	18,72	No	Publico	Presencial	Lengua	8,6	3,8	6,2
SB11201910040869	Masculino	17,97	No	Publico	Presencial	Naturales	6,6	3,8	5,2
SB11201910011427	Masculino	20,92	Si	Privado	Virtual	Matematica	4	3,8	3,9
SB11201910038005	Femenino	17,01	Si	Privado	Virtual	Lengua	7,6	3,8	5,7
SB11201910040552	Femenino	18,19	Si	Privado	Presencial	Sociales	6,4	3,8	5,1
SB11201910040613	Femenino	18,17	Si	Privado	Presencial	Lengua	7,6	3,8	5,7
SB11201910040354	Femenino	20,56	No	Publico	Virtual	Sociales	6	4	5
SB11201910045809	Femenino	17,98	No	Publico	Presencial	Lengua	7,4	4	5,7
SB11201910040312	Masculino	20,17	No	Privado	Presencial	Lengua	8	4	6
SB11201910038516	Masculino	18,09	No	Privado	Presencial	Matematica	4,4	4	4,2
SB11201910022798	Masculino	21,43	Si	Privado	Presencial	Sociales	6,2	4	5,1
SB11201910064436	Femenino	19,71	No	Privado	Presencial	Naturales	5,2	4,2	4,7
SB11201910040327	Femenino	19,67	No	Publico	Presencial	Lengua	10	4,4	7,2
SB11201910060776	Femenino	19,18	Si	Publico	Presencial	Lengua	8	4,4	6,2
SB11201910037211	Femenino	17,59	Si	Privado	Presencial	Sociales	5,6	4,4	5
SB11201910038016	Femenino	16,69	Si	Privado	Presencial	Lengua	7,6	4,6	6,1
SB11201910038266	Femenino	16,04	No	Privado	Virtual	Lengua	8	4,6	6,3
SB11201910021558	Masculino	16,44	No	Publico	Presencial	Lengua	8	4,8	6,4
SB11201910021384	Masculino	17,44	No	Publico	Presencial	Matematica	4	4,8	4,4
SB11201910040367	Masculino	21,72	No	Publico	Virtual	Lengua	9,2	4,8	7
SB11201910038310	Femenino	16,43	No	Privado	Presencial	Sociales	5,8	4,8	5,3
SB11201910038551	Masculino	17,9	Si	Privado	Presencial	Lengua	8,4	4,8	6,6
SB11201910042910	Masculino	17,93	No	Privado	Presencial	Sociales	6,4	4,8	5,6
SB11201910021459	Masculino	17,02	No	Publico	Presencial	Matematica	2	5	3,5
SB11201910040351	Masculino	17,9	No	Publico	Presencial	Lengua	10	5	7,5
SB11201910040910	Femenino	18,56	Si	Publico	Presencial	Lengua	8,4	5	6,7
SB11201910041975	Masculino	18,41	Si	Privado	Virtual	Lengua	10	5	7,5
SB11201910044292	Femenino	19,01	No	Privado	Presencial	Lengua	8,4	5	6,7
SB11201910042854	Masculino	18,6	Si	Privado	Presencial	Sociales	5,2	5	5,1
SB11201910022784	Femenino	16,52	Si	Privado	Virtual	Matematica	3,6	5	4,3
SB11201910014705	Femenino	18,43	No	Privado	Presencial	Lengua	8,4	5	6,7
SB11201910028104	Femenino	21,49	Si	Publico	Presencial	Matematica	3,2	5,2	4,2
SB11201910046018	Masculino	16,4	Si	Publico	Virtual	Lengua	10	5,2	7,6
SB11201910040360	Femenino	20,65	No	Publico	Presencial	Lengua	7,2	5,4	6,3
SB11201910038042	Masculino	19,79	No	Privado	Presencial	Sociales	7	5,4	6,2
SB11201910040585	Masculino	20,17	Si	Privado	Virtual	Matematica	3	5,4	4,2
