"";"place_name";"place_with_parent_names";"geonames_id";"lat.lon";"price";"currency";"price_aprox_local_currency";"price_aprox_usd";"surface_in_m2";"price_usd_per_m2";"floor";"rooms";"expenses";"title";"extra";"surface_total_in_m2";"surface_covered_in_m2";"price_per_m2";"id";"country_name";"state_name";"year"
"1";"Capital Federal";"|Argentina|Capital Federal|";"3433955";"-34.59207,-58.498964";NA;"USD";690985,51;120000;"92";1304,347826;"NA";"1";NA;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"2";"Villa del Parque";"|Argentina|Capital Federal|Villa del Parque|";"3427455";"-34.596956,-58.494757";NA;"USD";579612,48;73900;"45";1642,222222;"NA";"2";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"3";"General San Martin";"|Argentina|Bs.As. G.B.A. Zona Norte|General San Martin|";"3433778";"-34.597017,-58.493834";80000;"USD";460657,01;80000;"60";1333,333333;"NA";"2";NA;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"4";"Villa Urquiza";"|Argentina|Capital Federal|Villa Urquiza|";"3433775";"-34.58547,-58.488145";168000;"USD";967379,72;168000;"60";2800;"NA";"2";NA;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"5";"Villa Urquiza";"|Argentina|Capital Federal|Villa Urquiza|";"3433775";"-34.587517,-58.486213";88000;"USD";506722,71;88000;"60";1466,666667;"NA";"2";NA;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"6";"Agronomia";"|Argentina|Capital Federal|Agronomia|";"3436487";"-34.595147,-58.49828";4e+05;"USD";2753800;4e+05;"300";1333,333333;"NA";"NA";NA;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"7";"Villa Ballester";"|Argentina|Bs.As. G.B.A. Zona Norte|General San Martin|Villa Ballester|";"3427467";"-34.598848,-58.480764";85000;"USD";489448,07;85000;"140";607,1428571;"NA";"3";NA;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"8";"Villa del Parque";"|Argentina|Capital Federal|Villa del Parque|";"3427455";"-34.598257,-58.482112";99000;"USD";579228,51;99000;"55";1800;"NA";"2";NA;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"9";"Capital Federal";"|Argentina|Capital Federal|";"3433955";"-34.586637,-58.487055";108000;"USD";577583,34;108000;"56";1928,571429;"NA";"1";NA;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"10";"Villa Devoto";"|Argentina|Capital Federal|Villa Devoto|";"3427451";"-34.596921,-58.496682";NA;"USD";449645;70000;"40";1750;"3";"1";NA;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"11";"Capital Federal";"|Argentina|Capital Federal|";"3433955";"-34.586635,-58.487051";120000;"USD";941184;120000;"91";1318,681319;"NA";"1";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"12";"Villa del Parque";"|Argentina|Capital Federal|Villa del Parque|";"3427455";"-34.598861,-58.480772";NA;"USD";626489,5;91000;"57";1596,491228;"NA";"3";NA;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"13";"Villa del Parque";"|Argentina|Capital Federal|Villa del Parque|";"3427455";"-34.597818,-58.483305";118000;"USD";631063,28;118000;"80";1475;"NA";"3";NA;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"14";"Villa Devoto";"|Argentina|Capital Federal|Villa Devoto|";"3427451";"-34.596921,-58.496682";70000;"USD";569170;70000;"34";2058,823529;"7";"1";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"15";"Villa Pueyrredon";"|Argentina|Capital Federal|Villa Pueyrredon|";"3429703";"-34.589158,-58.490383";67000;"USD";395667,73;67000;"33";2030,30303;"NA";"1";NA;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"16";"Agronomia";"|Argentina|Capital Federal|Agronomia|";"3436487";"-34.586883,-58.48679";270000;"USD";2117664;270000;"190";1421,052632;"NA";"4";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"17";"Villa Devoto";"|Argentina|Capital Federal|Villa Devoto|";"3427451";"-34.596921,-58.496682";70000;"USD";571480;70000;"34";2058,823529;"4";"1";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"18";"Villa del Parque";"|Argentina|Capital Federal|Villa del Parque|";"3427455";"-34.597818,-58.483305";112000;"USD";661414,71;112000;"80";1400;"NA";"3";NA;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"19";"Villa del Parque";"|Argentina|Capital Federal|Villa del Parque|";"3427455";"-34.597517,-58.486677";89000;"USD";708956,2;89000;"60";1483,333333;"NA";"2";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2013
"20";"Villa del Parque";"|Argentina|Capital Federal|Villa del Parque|";"3427455";"-34.597615,-58.486376";68000;"USD";578204;68000;"35";1942,857143;"2";"1";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"21";"Capital Federal";"|Argentina|Capital Federal|";"3433955";"-34.597458,-58.492685";175000;"USD";1410412,5;175000;"90";1944,444444;"NA";"2";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"22";"Capital Federal";"|Argentina|Capital Federal|";"3433955";"-34.586635,-58.487051";59900;"USD";489023,6;59900;"42";1426,190476;"NA";"1";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"23";"Villa del Parque";"|Argentina|Capital Federal|Villa del Parque|";"3427455";"-34.597598,-58.484944";118000;"USD";991436;118000;"120";983,3333333;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"24";"San Martin";"|Argentina|Bs.As. G.B.A. Zona Norte|General San Martin|San Martin|";"NA";"-34.5971495,-58.4917628";75000;"USD";665505;75000;"95";789,4736842;"NA";"NA";"NA";"PH en Venta en Villa Ballester, San Martin, Buenos Aires";"{\\images\\:[\\http://images.mapapropapp.com/mapaprop-images/photos/1092/36883/236473.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1092/36883/236474.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1092/36883/236475.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1092/36883/236476.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1092/36883/236477.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1092/36883/236478.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1092/36883/236479.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1092/36883/236480.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1092/36883/236481.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1092/36883/236482.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1092/36883/236483.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1092/36883/236484.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1092/36883/236485.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1092/36883/236486.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1092/36883/236487.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1092/36883/236488.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1092/36883/236489.jpg\\],\\propertyCode\\:\\1092-1092-8160\\,\\lastUpdate\\:\\2014-07-16T20:10:05+0000\\,\\address\\:\\MITRE 5200\\,\\year\\:0,\\videos\\:[],\\condition\\:\\\\,\\original_url\\:\\\\}";"NA";"NA";"NA";"NA";"NA";"NA";2014
"25";"Villa Pueyrredon";"|Argentina|Capital Federal|Villa Pueyrredon|";"3429703";"-34.593559,-58.49332";NA;"USD";1595781;198000;"196";1010,204082;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"26";"San Martin";"|Argentina|Bs.As. G.B.A. Zona Norte|General San Martin|San Martin|";"NA";"-34.597451,-58.487162";40000;"USD";320128;40000;"67";597,0149254;"NA";"2";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"27";"Villa Pueyrredon";"|Argentina|Capital Federal|Villa Pueyrredon|";"3429703";"-34.5905624,-58.4889579";95000;"USD";921566,5;95000;"NA";1266,666667;"NA";"NA";NA;"Departamento en Venta en Villa Pueyrredon, Capital Federal";"{\\images\\:[\\http://images.mapapropapp.com/mapaprop-images/photos/461/20169/121953.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/461/20169/121954.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/461/20169/121955.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/461/20169/121956.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/461/20169/121957.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/461/20169/121958.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/461/20169/121959.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/461/20169/121960.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/461/20169/121961.jpg\\],\\propertyCode\\:\\461-LF0002\\,\\lastUpdate\\:\\2014-04-29T08:05:24+0000\\,\\address\\:\\Navarro 2369\\,\\original_ad\\:{\\original_property_type\\:\\Departamento\\},\\places_array\\:[\\Argentina\\,\\Capital Federal\\,\\Villa Pueyrredon\\]}";"75";"38";"2500";"NA";"NA";"NA";2014
"28";"San Martin";"|Argentina|Bs.As. G.B.A. Zona Norte|General San Martin|San Martin|";"NA";"-34.597451,-58.487162";40000;"USD";335440;40000;"67";597,0149254;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"29";"Villa Pueyrredon";"|Argentina|Capital Federal|Villa Pueyrredon|";"3429703";"-34.590562,-58.488958";95000;"USD";760304;95000;"75";1266,666667;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"30";"San Martin";"|Argentina|Bs.As. G.B.A. Zona Norte|General San Martin|San Martin|";"NA";"-34.597451,-58.487162";NA;"USD";318632;40000;"67";597,0149254;"NA";"2";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"31";"Villa Luro";"|Argentina|Capital Federal|Villa Luro|";"3427407";"-34.595373,-58.487001";105000;"USD";896112;105000;"75";1400;"8";"3";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"32";"San Martin";"|Argentina|Bs.As. G.B.A. Zona Norte|General San Martin|San Martin|";"NA";"-34.597017,-58.493834";60000;"USD";503160;60000;"70";857,1428571;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"33";"San Martin";"|Argentina|Bs.As. G.B.A. Zona Norte|General San Martin|San Martin|";"NA";"-34.597848,-58.4831";86000;"USD";693117;86000;"60";1433,333333;"NA";"2";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"34";"Villa del Parque";"|Argentina|Capital Federal|Villa del Parque|";"3427455";"-34.5948998,-58.4997818";115000;"USD";1057816;115000;"64";1796,875;"NA";"NA";"NA";"Hermoso departamento de 3 amb amplios, refaccionado hace 6 anos";"{\\images\\:[\\http://images.mapapropapp.com/mapaprop-images/photos/1737/66101/485688.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1737/66101/485689.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1737/66101/485690.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1737/66101/485692.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1737/66101/485693.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1737/66101/485694.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1737/66101/485695.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1737/66101/485697.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1737/66101/485698.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1737/66101/485699.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1737/66101/485701.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1737/66101/485702.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/1737/66101/485704.jpg\\],\\propertyCode\\:\\1737-DV0002\\,\\lastUpdate\\:\\2014-09-23T22:20:06+0000\\,\\address\\:\\Pedro Moran 3163\\,\\original_ad\\:{\\original_property_type\\:\\Departamento\\}}";"NA";"NA";"NA";"NA";"NA";"NA";2014
"35";"Villa Pueyrredon";"|Argentina|Capital Federal|Villa Pueyrredon|";"3429703";"-34.593949,-58.495409";77000;"USD";613366,6;77000;"48";1604,166667;"NA";"1";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"36";"Agronomia";"|Argentina|Capital Federal|Agronomia|";"3436487";"-34.587851,-58.488249";350000;"USD";2987040;350000;"410";853,6585366;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
"37";"Villa Pueyrredon";"|Argentina|Capital Federal|Villa Pueyrredon|";"3429703";"-34.5905624,-58.4889579";95000;"USD";864015,5;95000;"75";1266,666667;"NA";"NA";"NA";"Departamento en Venta en Villa Pueyrredon, Capital Federal";"{\\images\\:[\\http://images.mapapropapp.com/mapaprop-images/photos/461/20169/121953.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/461/20169/121954.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/461/20169/121955.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/461/20169/121956.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/461/20169/121957.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/461/20169/121958.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/461/20169/121959.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/461/20169/121960.jpg\\,\\http://images.mapapropapp.com/mapaprop-images/photos/461/20169/121961.jpg\\],\\propertyCode\\:\\461-LF0002\\,\\lastUpdate\\:\\2014-04-29T08:05:24+0000\\,\\address\\:\\Navarro 2369\\,\\original_ad\\:{\\original_property_type\\:\\Departamento\\}}";"NA";"NA";"NA";"NA";"NA";"NA";2014
"38";"Villa Devoto";"|Argentina|Capital Federal|Villa Devoto|";"3427451";"-34.596737,-58.497347";70000;"USD";557606;70000;"37";1891,891892;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";2014
