Pais;Poblacion_2020;Cambio_porc_anual;Cambio_neto_anual;Densidad;Area;Migrantes;Tasa_de_crecimiento;Edad_promedio;Poblacion_urbana;Porc_mundial;Code;Continente;PBI;Poblacion
Afghanistan;39074280;2.33;886592;60;652860;-62920;4.6;18;25;0.5;AFG;Asia;19469;34656032
Albania;2877239;-0.11;-3120;105;27400;-14000;1.6;36;63;0.04;ALB;Europe;11864;2876101
Algeria;43984569;1.85;797990;18;2381740;-10000;3.1;29;73;0.56;DZA;Africa;159049;40606052
American Samoa;55169;-0.22;-121;276;200;NA;NA;NA;88;0;ASM;America;658;55599
Andorra;77287;0.16;123;164;470;NA;NA;NA;88;0;AND;Europe;2859;77281
Angola;33032075;3.27;1040977;26;1246700;6413;5.6;17;67;0.42;AGO;Africa;95335;28813463
Antigua and Barbuda;98069;0.84;811;223;440;0;2;34;26;0;ATG;America;1460;100963
Argentina;45267449;0.93;415097;17;2736690;4800;2.3;32;93;0.58;ARG;America;545476;43847430
Armenia;2964219;0.19;5512;104;28470;-4998;1.8;35;63;0.04;ARM;Asia;10572;2924816
Aruba;106845;0.43;452;593;180;201;1.9;41;44;0;ABW;America;NA;104822
Australia;25550683;1.18;296686;3;7682300;158246;1.8;38;86;0.33;AUS;Oceania;1204616;24210809
Austria;9015361;0.57;51296;109;82409;65000;1.5;43;57;0.12;AUT;Europe;390800;8731471
Azerbaijan;10154978;0.91;91459;123;82658;1200;2.1;32;56;0.13;AZE;Asia;37848;9757812
Bahamas;393893;0.97;3762;39;10010;1000;1.8;32;86;0.01;BHS;America;11262;391232
Bahrain;1711057;3.68;60403;2239;760;47800;2;32;89;0.02;BHR;Asia;32179;1425171
Bangladesh;164972348;1.01;1643222;1265;130170;-369501;2.1;28;39;2.11;BGD;Asia;221415;162951560
Barbados;287437;0.12;350;668;430;-79;1.6;40;31;0;BRB;America;4529;284996
Belarus;9448772;-0.03;-3088;47;202910;8730;1.7;40;79;0.12;BLR;Europe;47407;9501534
Belgium;11598451;0.44;50295;383;30280;48000;1.7;42;98;0.15;BEL;Europe;467956;11338476
Belize;398845;1.86;7275;17;22810;1200;2.3;25;46;0.01;BLZ;America;1741;366954
Benin;12175480;2.73;322049;108;112760;-2000;4.9;19;48;0.16;BEN;Africa;8583;10872298
Bermuda;62237;-0.36;-228;1246;50;NA;NA;NA;97;0;BMU;America;NA;65376
Bhutan;773069;1.12;8516;20;38117;320;2;28;46;0.01;BTN;Asia;2213;797765
Bolivia;11700207;1.39;159921;11;1083300;-9504;2.8;26;69;0.15;BOL;America;33806;10887882
Bosnia and Herzegovina;3277152;-0.61;-20181;64;51000;-21585;1.3;43;52;0.04;BIH;Europe;16910;3516816
Botswana;2359585;2.08;47930;4;566730;3000;2.9;24;73;0.03;BWA;Africa;15581;2250260
Brazil;212821986;0.72;1509890;25;8358140;21200;1.7;33;88;2.73;BRA;America;1796187;207652865
British Virgin Islands;30266;0.67;201;202;150;NA;NA;NA;52;0;VGB;America;NA;30661
Brunei;438202;0.97;4194;83;5270;0;1.8;32;80;0.01;BRN;Asia;11401;423196
Bulgaria;6939018;-0.74;-51674;64;108560;-4800;1.6;45;76;0.09;BGR;Europe;53238;7127822
Burkina Faso;20997293;2.86;581895;76;273600;-25000;5.2;18;31;0.27;BFA;Africa;11693;18646433
Burundi;11948454;3.12;360204;463;25680;2001;5.5;17;14;0.15;BDI;Africa;3007;10524117
Cabo Verde;557026;1.1;6052;138;4030;-1342;2.3;28;68;0.01;CPV;Africa;1617;539560
Cambodia;16758448;1.41;232423;95;176520;-30000;2.5;26;24;0.21;KHM;Asia;20017;15762370
Cameroon;26655083;2.59;669483;56;472710;-4800;4.6;19;56;0.34;CMR;Africa;32217;23439189
