"";"id_usuario";"genero_usuario";"edad_usuario";"fecha_alta";"hora_alta"
"23";1103584;"FEMALE";51;"2024-01-31";"06:50:32"
"30";1103629;"FEMALE";52;"2024-01-31";"10:15:44"
"36";1103644;"FEMALE";47;"2024-01-31";"11:06:34"
"37";1103667;"FEMALE";51;"2024-01-31";"12:14:26"
"49";1101462;"FEMALE";52;"2024-01-27";"17:13:26"
"69";1100431;"FEMALE";41;"2024-01-25";"20:27:06"
"82";1101619;"FEMALE";44;"2024-01-27";"21:27:54"
"102";1103173;"FEMALE";42;"2024-01-30";"11:31:10"
"107";1094125;"FEMALE";52;"2024-01-17";"17:13:45"
"108";1087281;"FEMALE";54;"2024-01-06";"10:42:57"
"110";1090982;"FEMALE";54;"2024-01-12";"17:07:18"
"130";1104386;"FEMALE";52;"2024-02-02";"07:36:23"
"153";1101027;"FEMALE";44;"2024-01-26";"21:14:38"
"161";1104136;"FEMALE";44;"2024-02-01";"14:37:26"
"170";1104654;"FEMALE";47;"2024-02-02";"20:27:54"
"173";1104247;"FEMALE";58;"2024-02-01";"20:07:51"
"178";1086761;"FEMALE";72;"2024-01-05";"11:59:01"
"191";1104863;"FEMALE";55;"2024-02-03";"15:26:09"
"194";1104857;"FEMALE";45;"2024-02-03";"15:12:33"
"203";1103797;"FEMALE";53;"2024-01-31";"16:47:01"
"219";1086857;"FEMALE";48;"2024-01-05";"14:39:39"
"223";1100338;"FEMALE";53;"2024-01-25";"18:56:31"
"233";1105075;"FEMALE";76;"2024-02-04";"10:01:50"
"237";1093101;"FEMALE";51;"2024-01-15";"19:32:07"
"239";1100990;"FEMALE";72;"2024-01-26";"19:45:01"
"244";1104324;"FEMALE";50;"2024-02-01";"22:55:42"
"253";1105227;"FEMALE";52;"2024-02-04";"14:56:44"
"255";1105129;"FEMALE";42;"2024-02-04";"12:13:22"
"290";1083904;"FEMALE";54;"2024-01-01";"13:46:43"
"311";1084194;"FEMALE";51;"2024-01-01";"17:03:33"
"319";1084287;"FEMALE";50;"2024-01-01";"17:57:10"
"339";1084280;"FEMALE";57;"2024-01-01";"17:52:08"
"391";1084794;"FEMALE";51;"2024-01-02";"14:56:19"
"405";1085078;"FEMALE";51;"2024-01-02";"19:38:28"
"407";1085117;"FEMALE";50;"2024-01-02";"20:39:53"
"411";1085108;"FEMALE";52;"2024-01-02";"20:30:34"
"422";1085254;"FEMALE";53;"2024-01-03";"07:51:43"
"430";1085381;"FEMALE";54;"2024-01-03";"11:59:40"
"461";1085631;"FEMALE";41;"2024-01-03";"17:00:04"
"477";1085689;"FEMALE";71;"2024-01-03";"17:54:52"
"484";1085685;"FEMALE";65;"2024-01-03";"17:49:40"
"497";1085309;"FEMALE";44;"2024-01-03";"10:23:46"
"502";1086158;"FEMALE";59;"2024-01-04";"13:18:24"
"511";1083549;"FEMALE";51;"2024-01-01";"00:57:40"
"541";1083956;"FEMALE";42;"2024-01-01";"14:36:57"
"563";1084161;"FEMALE";43;"2024-01-01";"16:43:34"
"585";1084249;"FEMALE";49;"2024-01-01";"17:35:05"
"597";1084267;"FEMALE";54;"2024-01-01";"17:41:17"
"657";1085027;"FEMALE";51;"2024-01-02";"18:56:23"
"665";1085124;"FEMALE";45;"2024-01-02";"20:45:08"
"713";1085467;"FEMALE";43;"2024-01-03";"14:00:36"
"716";1084196;"FEMALE";42;"2024-01-01";"17:06:21"
"734";1085320;"FEMALE";49;"2024-01-03";"10:46:58"
"744";1085700;"FEMALE";59;"2024-01-03";"18:11:03"
"764";1085851;"FEMALE";50;"2024-01-03";"21:09:39"
"791";1083860;"FEMALE";44;"2024-01-01";"13:08:15"
"851";1084429;"FEMALE";53;"2024-01-01";"20:23:02"
"902";1084930;"FEMALE";53;"2024-01-02";"17:04:30"
